company_id,company_name,sector,year,operating_cash_flow,investing_cash_flow,financing_cash_flow,borrowings,borrowing_change,capital_allocation_pattern
ABB,Abbott India Ltd,Industrials,2012.0,101.0,-59.0,-42.0,0.0,,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2014.0,155.0,-144.0,-42.0,0.0,0.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2015.0,215.0,-187.0,-58.0,0.0,0.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2016.0,249.0,-77.0,-80.0,0.0,0.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2017.0,307.0,-155.0,-90.0,0.0,0.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2018.0,153.0,-215.0,-102.0,0.0,0.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2019.0,499.0,-257.0,-143.0,0.0,0.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2020.0,626.0,-401.0,-217.0,175.0,175.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2021.0,727.0,-72.0,-582.0,153.0,-22.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2022.0,948.0,-396.0,-637.0,152.0,-1.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2023.0,893.0,-148.0,-639.0,113.0,-39.0,Reinvestment + Deleveraging
ABB,Abbott India Ltd,Industrials,2024.0,1213.0,-416.0,-745.0,60.0,-53.0,Reinvestment + Deleveraging
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2014.0,0.0,0.0,0.0,0.0,,Mixed
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2015.0,-35.0,-1864.0,1902.0,9701.0,9701.0,Financing Supported
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2016.0,1544.0,-816.0,-722.0,8585.0,-1116.0,Reinvestment + Deleveraging
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2017.0,2189.0,-1730.0,-455.0,8975.0,390.0,Reinvestment + Deleveraging
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2018.0,2198.0,-3192.0,1589.0,10428.0,1453.0,Growth + External Financing
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2019.0,2591.0,-3050.0,38.0,20137.0,9709.0,Growth + External Financing
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2020.0,5437.0,-5643.0,1250.0,24246.0,4109.0,Growth + External Financing
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2021.0,3784.0,-4009.0,-745.0,27095.0,2849.0,Reinvestment + Deleveraging
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2022.0,4097.0,-3936.0,-235.0,29902.0,2807.0,Reinvestment + Deleveraging
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2023.0,3777.0,-4699.0,923.0,34270.0,4368.0,Growth + External Financing
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2024.0,6038.0,-4943.0,-543.0,39009.0,4739.0,Reinvestment + Deleveraging
ADANIENT,Adani Enterprises Ltd,Industrials,2013.0,7666.0,-14790.0,7199.0,69332.0,,Growth + External Financing
ADANIENT,Adani Enterprises Ltd,Industrials,2014.0,8228.0,-8007.0,-1109.0,71980.0,2648.0,Reinvestment + Deleveraging
ADANIENT,Adani Enterprises Ltd,Industrials,2015.0,8532.0,-11465.0,3445.0,83571.0,11591.0,Growth + External Financing
ADANIENT,Adani Enterprises Ltd,Industrials,2016.0,5112.0,-1825.0,-3448.0,19169.0,-64402.0,Reinvestment + Deleveraging
ADANIENT,Adani Enterprises Ltd,Industrials,2017.0,774.0,-1460.0,716.0,20846.0,1677.0,Growth + External Financing
ADANIENT,Adani Enterprises Ltd,Industrials,2018.0,2942.0,-7649.0,5120.0,17637.0,-3209.0,Growth + External Financing
ADANIENT,Adani Enterprises Ltd,Industrials,2019.0,3236.0,2487.0,-6158.0,11243.0,-6394.0,Cash Generation + Deleveraging
ADANIENT,Adani Enterprises Ltd,Industrials,2020.0,2454.0,-1082.0,-221.0,12419.0,1176.0,Reinvestment + Deleveraging
ADANIENT,Adani Enterprises Ltd,Industrials,2021.0,4043.0,-8611.0,3109.0,16227.0,3808.0,Growth + External Financing
ADANIENT,Adani Enterprises Ltd,Industrials,2022.0,1385.0,-17041.0,15901.0,41604.0,25377.0,Growth + External Financing
ADANIENT,Adani Enterprises Ltd,Industrials,2023.0,17626.0,-15459.0,-1198.0,53200.0,11596.0,Reinvestment + Deleveraging
ADANIENT,Adani Enterprises Ltd,Industrials,2024.0,10312.0,-18767.0,8879.0,80427.0,27227.0,Growth + External Financing
ADANIGREEN,Adani Green Energy Ltd,Energy,2017.0,28.0,-1511.0,1559.0,4347.0,,Growth + External Financing
ADANIGREEN,Adani Green Energy Ltd,Energy,2018.0,649.0,-4428.0,3942.0,9864.0,5517.0,Growth + External Financing
ADANIGREEN,Adani Green Energy Ltd,Energy,2019.0,1625.0,-2666.0,1045.0,11142.0,1278.0,Growth + External Financing
ADANIGREEN,Adani Green Energy Ltd,Energy,2020.0,1965.0,-3743.0,2161.0,14866.0,3724.0,Growth + External Financing
ADANIGREEN,Adani Green Energy Ltd,Energy,2021.0,1601.0,-9137.0,7083.0,24209.0,9343.0,Growth + External Financing
ADANIGREEN,Adani Green Energy Ltd,Energy,2022.0,3127.0,-18730.0,15986.0,52832.0,28623.0,Growth + External Financing
ADANIGREEN,Adani Green Energy Ltd,Energy,2023.0,7265.0,-3857.0,-2973.0,54223.0,1391.0,Reinvestment + Deleveraging
ADANIGREEN,Adani Green Energy Ltd,Energy,2024.0,7713.0,-21060.0,13953.0,67430.0,13207.0,Growth + External Financing
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2013.0,1379.0,-5136.0,4138.0,11620.0,,Growth + External Financing
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2014.0,1132.0,-2510.0,772.0,12979.0,1359.0,Growth + External Financing
