company_id,metric_type,source_column,raw_text,reason
SBILIFE,compounded_sales_growth,compounded_sales_growth,TTM:            43%,regex pattern did not match
SBILIFE,compounded_profit_growth,compounded_profit_growth,TTM:                 18%,regex pattern did not match
SBILIFE,stock_price_cagr,stock_price_cagr,1 Year:         -2%,regex pattern did not match
SBILIFE,roe,roe,Last Year:      12%,regex pattern did not match
TCS,compounded_sales_growth,compounded_sales_growth,TTM:            5%,regex pattern did not match
TCS,compounded_profit_growth,compounded_profit_growth,TTM:                 8%,regex pattern did not match
TCS,roe,roe,Last Year:       52%,regex pattern did not match
WIPRO,stock_price_cagr,stock_price_cagr,3 Years:      -1%,regex pattern did not match
WIPRO,compounded_sales_growth,compounded_sales_growth,TTM:           -3%,regex pattern did not match
WIPRO,compounded_profit_growth,compounded_profit_growth,TTM:                 1%,regex pattern did not match
WIPRO,roe,roe,Last Year:       14%,regex pattern did not match
HDFCBANK,compounded_sales_growth,compounded_sales_growth,TTM:            47%,regex pattern did not match
HDFCBANK,compounded_profit_growth,compounded_profit_growth,TTM:                27%,regex pattern did not match
HDFCBANK,roe,roe,Last Year:    17%,regex pattern did not match
INFY,compounded_sales_growth,compounded_sales_growth,TTM:            3%,regex pattern did not match
INFY,compounded_profit_growth,compounded_profit_growth,TTM:                 8%,regex pattern did not match
INFY,roe,roe,Last Year:     32%,regex pattern did not match
