company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_intensity_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_pat_ratio,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sector,industry,company_name
INDIGO,2024,11.852722628584697,76.29890862649484,856.9779643231899,5403.186022610484,659.1606133979016,0.02098635886673662,22.612639724849526,55.61259079903148,9424.0,17.065772669220944,212.0,97.0,0.0,20.0,21183.0,2.5937308681278317,19.313355125806165,120.69250867467933,121.23568222761168,100.0,Consumer Discretionary,Airlines,Interglobe Aviation Ltd
IRCTC,2024,26.01873536299766,34.33255269320843,31.535623048538174,41.12201963534362,16.33823529411765,0.011921657678115243,82.73684210526316,0.6279411764705882,667.0,5.035128805620609,14.0,44.0,47.0,42.0,882.0,0.7938793879387939,17.955244103890912,29.16686408659448,28.473515712343932,100.0,Consumer Discretionary,Travel & Tourism,Indian Railway Catering & Tourism Corporation Ltd
LTIM,2024,12.90931103415266,17.982937748120616,21.755634638196916,27.293705397205247,15.941726643718926,0.11036773428232503,31.93243243243243,1.2349014290184626,1752.0,11.031337106174508,155.0,711.0,42.0,2326.0,5670.0,1.2366412213740459,30.32798083513346,24.775129058600996,12.24383304425547,100.0,Information Technology,IT Services,LTIMindtree Ltd
TRENT,2024,11.935353535353535,15.927272727272726,31.55982905982906,30.220791168353266,17.85109983079526,0.3935897435897436,8.043478260869565,1.4956490210297317,841.0,4.105050505050505,42.0,132.0,8.0,1842.0,1349.0,0.913337846987136,36.30691600183056,73.11367578503176,69.52182030724354,100.0,Consumer Discretionary,Retail,Trent Ltd
ASIANPAINT,2024,15.658543456824905,21.3692069305536,30.836662228140256,36.92794547224927,18.857297957521883,0.13959165557035064,41.00487804878049,1.2042817398385017,3556.0,7.17847584166784,57.0,188.0,58.0,2516.0,6104.0,1.0982367758186398,13.029660349453076,20.277362101955056,20.973552688431262,96.66666666666667,Materials,Paints & Coatings,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company"
ATGL,2024,14.927374301675977,24.670391061452516,17.08003068268985,20.566318926974663,9.763227126571177,0.3725389925850166,10.504504504504505,0.6540485238234435,203.0,16.804469273743017,6.0,36.0,4.0,1457.0,955.0,1.4296407185628743,21.08864867789759,23.8762916927858,24.57309396155174,96.66666666666667,Energy,Gas Distribution,Adani Total Gas Ltd
ABB,2024,20.533424517011454,24.84185330825782,34.10962794660608,40.57525830773527,23.721113964052932,0.017040613462084634,141.75,1.1552439265257752,797.0,7.112326893486067,565.0,1657.0,73.0,60.0,1213.0,1.009991673605329,9.716101277290168,21.69314043381163,21.65851677781967,93.33333333333333,Industrials,Capital Goods,Abbott India Ltd
BEL,2024,19.661535425300965,24.921057825143084,4379.120879120879,2988.757396449704,1771.1111111111113,0.8571428571428571,476.75,90.08,-1265.0,29.228340240773633,5.0,24.0,40.0,78.0,4659.0,1.1691342534504392,10.7508063318833,16.12648618019128,10.756634324829006,93.33333333333333,Industrials,Defence Electronics,Bharat Electronics Ltd
COALINDIA,2024,26.25628846856468,66.29380849329698,38.84632576899488,90.71173795583243,14.986024165961526,0.0812499350291589,11.24178180085755,0.5707594271712672,13617.0,3.151963126387679,61.0,156.0,42.0,7816.0,18103.0,0.48443897348069254,7.402890725901301,16.43231987118112,16.851518569430034,93.33333333333333,Materials,Mining & Metals,Coal India Ltd
DRREDDY,2024,19.913605369319196,28.321016743422227,18.140427330970113,22.28183018284976,11.937168293100497,0.15785879215584248,51.707602339181285,0.5994478685156651,509.0,14.401485130841454,67.0,369.0,12.0,4854.0,4543.0,0.8144496235209753,12.639644349571988,23.392504645437473,23.842409558387544,93.33333333333333,Healthcare,Pharmaceuticals,Dr Reddys Laboratories Ltd
EICHERMOT,2024,24.195694242864054,26.179245283018872,21.081195005005533,22.334004024144868,16.410992616899097,0.021286685283734653,114.70588235294117,0.6782608695652174,890.0,17.138364779874212,146.0,693.0,35.0,404.0,3724.0,0.9307673081729567,11.036936496739692,12.675841665377696,12.505451629050324,93.33333333333333,Consumer Discretionary,Two Wheelers,Eicher Motors Ltd
INFY,2024,17.08075746730006,23.703390381987376,29.015177475874115,36.693966776471534,18.501444984845282,0.09732155687960824,87.52340425531915,1.0831747374356806,20117.0,3.314244810307802,63.0,218.0,,8804.0,25210.0,0.9604541298384639,13.199100930556229,11.239419983657939,12.474611314209483,93.33333333333333,Information Technology,IT Services,Infosys Ltd
LICI,2024,4.836600998148862,3.87474201090824,41.906244558927455,33.568875643900995,0.7154246255674604,0.00010242018906766902,371.9375,0.14791888473770706,853.0,2.986999477520373,66.0,154.0,15.0,10.0,26122.0,0.6384299540522045,8.15986061977938,73.17556747076097,,93.33333333333333,Financials,Life Insurance,Life Insurance Corporation of India
NESTLEIND,2024,16.12281708616873,23.829630236943512,98.57142857142858,133.32568807339447,35.406913935902054,0.09273182957393483,41.186206896551724,2.196074900972272,2938.0,5.070919078461917,41.0,41.0,79.0,370.0,4175.0,1.0615306381896772,14.548573711802671,14.852319512993839,15.43852585822143,93.33333333333333,Consumer Staples,Food Products,Nestle India Ltd
PIDILITIND,2024,14.108051360736493,21.868690947266415,20.04589787722318,29.77787552232241,13.696589572716581,0.04348823866896156,54.333333333333336,0.9708349666797335,955.0,14.285714285714285,34.0,171.0,47.0,379.0,2724.0,1.559244419004007,11.836370175898114,13.48774998597666,13.564157249607756,93.33333333333333,Materials,Specialty Chemicals,Pidilite Industries Ltd
TORNTPHARM,2024,15.436241610738255,31.3944817300522,22.068230277185503,31.677953348382243,10.975609756097562,0.4168443496801706,9.926553672316384,0.7110286320254506,3106.0,1.4914243102162565,49.0,222.0,57.0,3128.0,3266.0,1.9722222222222223,6.932744476678732,30.591457402327848,30.391879544001377,93.33333333333333,Healthcare,Pharmaceuticals,Torrent Pharmaceuticals Ltd
ADANIPOWER,2024,41.36759945184802,36.20186292228556,37.22522071701755,19.462091203194568,18.801451473136915,0.6738570969010258,8.297225501770956,0.4544970392836511,17651.0,6.9134674584417395,54.0,145.0,0.0,37705.0,14170.0,0.6803015027125642,16.086096410440966,,,92.0,Energy,Power & Utilities,Adani Power Ltd
BPCL,2024,5.994201967046283,9.837909494446341,34.832961560408776,32.41609553784157,12.71576415782148,0.763604295274161,11.355507351168956,2.121343963337847,25415.0,2.3480024906099985,62.0,178.0,33.0,58880.0,35936.0,1.3379500353698945,8.483226324685255,25.790698729746552,28.063048802615654,90.0,Energy,Oil & Gas Refining,Bharat Petroleum Corporation Ltd
DMART,2024,4.993207190533383,8.084427730414067,12.59310755785083,19.69210109826867,11.006944444444445,0.03540570066540868,73.29310344827586,2.2043836805555554,278.0,4.8593199314812265,39.0,309.0,0.0,713.0,2746.0,1.082807570977918,20.48312440202782,22.96698996520703,22.740337821451305,90.0,Consumer Discretionary,Retail,Avenue Supermarts Ltd
HAL,2024,24.999177117277245,32.08913465652875,3669.0821256038644,2945.3172205438063,1595.5882352941176,0.5990338164251208,270.8837209302326,63.825630252100844,1814.0,21.105296073203647,114.0,465.0,31.0,124.0,8226.0,1.0830809743252139,8.712548590236358,26.485270563052985,26.63896760913802,90.0,Industrials,Defence & Aerospace,Hindustan Aeronautics Ltd
HAVELLS,2024,6.837009144701453,10.118343195266272,16.307415960995638,23.147920255968497,9.896441641361053,0.042596869386707724,25.357142857142858,1.4474811181188196,335.0,8.703604088219473,20.0,124.0,44.0,332.0,1953.0,1.5365853658536586,13.037907939063121,10.033231229420036,8.997698704834534,90.0,Industrials,Consumer Electricals,Havells India Ltd
HCLTECH,2024,14.293122742532729,22.015594151738192,22.809437386569872,32.40832507433102,15.747321151128174,0.08407985480943739,46.46112115732369,1.1017411264697332,15840.0,6.012027694631208,58.0,254.0,90.0,5791.0,22448.0,1.428898790579249,12.710299978373406,9.194090295112023,9.407036350794119,90.0,Information Technology,IT Services,HCL Technologies Ltd
HINDUNILVR,2024,16.611735814915342,76.31672482874498,20.249724279187017,90.1005207240544,12.73076208753792,0.03251536158815188,57.847001223990205,0.7663715718442394,10145.0,8.601525138942742,44.0,216.0,96.0,1651.0,15469.0,1.504473837774752,9.504485244074123,11.152950436803422,9.460878422315755,90.0,Consumer Staples,FMCG,"Hindustan Unilever Ltd
"
IOC,2024,5.559462717942377,9.743776019125345,23.79773496686259,21.941195067973442,8.457800160686642,0.9009461530827167,10.282324578099226,1.5213340910426996,39635.0,4.052800791393595,30.0,129.0,40.0,163401.0,71099.0,1.6472973286068442,8.008755667240486,20.099089966731643,20.11244339814313,90.0,Energy,Oil & Gas Refining,"Indian Oil Corporation
"
ITC,2024,29.282025230717128,37.0177518132814,27.57021762814551,34.71351065237528,22.05887042765571,0.004039008317168443,362.9625,0.7533246165130593,18742.0,2.205571077808822,16.0,60.0,84.0,304.0,17179.0,0.8278637174112091,7.950896846254429,10.083407558317958,9.856054330611785,90.0,Consumer Staples,Diversified FMCG,"ITC Ltd
"
MARUTI,2024,9.50809964894472,13.130031439890594,15.133631039202927,20.86152054119439,11.083355245858533,0.0017727711330027152,117.90721649484536,1.1656751249013937,4936.0,8.363997800617518,429.0,2835.0,29.0,158.0,16801.0,1.2456257413997627,10.510215112642584,12.007182039300378,11.139222486886503,90.0,Consumer Discretionary,Automobiles,Maruti Suzuki India Ltd
SIEMENS,2024,12.221223021582734,13.956834532374101,17.698769290877124,19.85162445638271,10.743507648523657,0.018167610861496385,67.15,0.8790861298865568,1168.0,2.2571942446043165,76.0,431.0,16.0,279.0,1670.0,0.6144223693892568,11.193358902067896,19.85339817550189,19.643850003755613,90.0,Industrials,Capital Goods,Siemens Ltd
